zip,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
5000,24510.508288447214,23963.385996609904,23092.511431017767,20938.42016613963,21387.205584372132,23074.742095034948,21784.280157239376,21853.868721151233,22678.405881937008,23135.162015165137,21950.392195094035,22578.890498125416,22134.99552973464,22789.839591859145,24348.38293791279,24069.856424918344,25303.669582192953,23141.296944006248,21467.320686573712,23390.860577235846,25254.99934408373,23587.244852929856,26323.620766427503,24144.160519681536,24498.002872885983,26248.111435462157,25760.637907607146,25352.42320730666,27105.739494458092
5200,17472.943722943724,15964.826029503283,13477.985062025544,16290.726342515563,16091.33502723038,13947.804357592093,18176.803226826953,19933.333333333332,17257.488479262673,17048.602839946623,18600.984744990892,16129.032258064517,15126.736733636659,15646.938404947143,17568.294738857276,16645.665639750114,17521.328236604215,16704.260651629073,19691.136596378532,18965.444587116832,16894.75197172877,18860.078277886496,16289.356656317379,18421.20092197917,19291.850503157442,19312.46693121693,19567.57998239705,19752.707930367505,10576.01246105919
5210,15215.332988261887,16720.723152913473,16916.31880344192,15899.16670885492,15478.16323542874,16953.78874142956,14211.246399129828,16348.144198423155,17623.949309057163,15201.049289684119,15143.483012343228,16882.427022028933,16517.24700025889,14555.7399772859,15189.4407244694,16065.874677446023,15228.071032489417,15412.467524625778,16311.359325749632,18296.616607720454,16116.298073082216,18208.633514476278,17650.791424727373,16196.23723359222,17905.59700258785,17989.48972441967,17207.760065537237,16508.17265193553,19656.357629666443
5220,17621.12418045624,16871.718036520335,16238.354011565838,16675.30074168535,16861.061014657884,15401.311388852637,16602.705578214925,20552.404516275277,16784.24975087296,16176.577808156755,18038.020767380018,16679.928679479697,18594.768680843743,18356.087265583184,15165.265756366562,16980.33578812897,16828.99620400107,20902.284080298785,19085.920075635546,18595.248666700532,17286.865543353928,17106.079175068633,16155.445956196718,17218.796438340472,16472.182057576523,19382.554303917095,17838.53306545012,19023.191252288725,16233.1105280693
5230,21423.062110020102,25958.301246629457,21810.089774309818,21928.732991836892,24081.74659996209,20670.034816238876,23917.510210990604,26103.71697404282,21892.715029147726,25206.140977376766,25406.79591049731,24365.69295955474,24005.65753061875,24999.144412282516,24831.51531026509,25100.607153035773,29842.60711359344,28059.80383261316,25232.576045163078,28084.463890629606,30064.909293056968,28098.56528003877,23259.91179200368,24953.52328426137,32137.431696580563,33762.11621568038,33458.30879741392,27272.163269106826,32859.14375374154
5240,13200.282447972357,12979.020979020977,15399.807549729465,14421.082949308755,13938.584580610845,13179.104005239058,16246.684607182284,12005.696004993757,14253.142718429768,12828.467153284671,13131.31313131313,11977.085663844671,15828.922596351982,13306.98810112901,12711.169507778259,11771.628463978914,13143.400939707728,,13912.179098262715,14870.248421884997,13029.890458633972,16659.08375425838,16145.107566715104,13980.869159489672,14571.944723637343,14529.55455351334,13020.115203461715,16485.433586295654,14716.720720988274
5250,17350.661027181748,16218.27237585912,18864.06320647156,15492.383166334677,17124.069683344722,17499.319892929016,19287.248813879094,18112.276146610242,17963.636081579,15377.257864022413,18864.599279445185,17469.33672310599,21083.80706067103,19030.825161740377,18555.776473481314,17309.235802594678,20033.907611751856,19581.163240028516,19272.268261781723,19044.893358966456,20346.401154537398,19324.242657233768,18528.67930805075,22604.270965212516,20719.2446162321,21837.263942197034,21230.58046614353,22284.364843065014,21227.524621896053
5260,16214.23229347701,16290.104323552323,17094.388538477582,16895.635195750914,15592.187706704073,16962.433466848903,15216.30476333946,17673.710747688816,16599.921918540433,17976.069423989127,14659.281177530976,14791.842778862012,17610.053999963555,15315.040802042495,13923.062827323916,17213.8298797176,15218.809129911338,16009.673745005677,17449.67034026652,15965.850531410582,18592.980286529615,17531.14778838733,17056.024821766056,18137.98962230678,16598.183758036103,18415.228715417237,17632.137908733363,18517.415759741576,20848.492508273466
5270,13732.45154822422,15218.339736595595,14044.682371507248,13534.624377791211,14917.773230962603,14386.194873963084,16509.154515194474,15213.465922974427,15798.700556851307,15663.303120225939,15147.13085849331,14752.234913534274,15630.439278854523,14384.916754181319,15251.151373802673,15273.341454069961,17182.82305917713,13859.90301277751,15354.022495892603,15005.27713470152,14572.264077789974,16783.423794309776,15528.586469498432,17938.334751336966,16646.78213321909,14187.190229144175,16871.161605142013,15255.553118440253,16579.993401023214
5290,14474.647987484,9000.0,6668.12865497076,,9195.804195804196,8333.333333333334,,,,,9006.211180124224,9055.11811023622,5650.684931506849,,,13055.408719145998,,,7539.68253968254,,,12704.081632653062,11363.636363636364,15078.502415458937,10284.931974945925,11727.941176470587,9652.298850574713,16093.75,10529.373035426048
