,quarter,zip_code,sales,id,name,residences,rel_sales,quarter_name
0,2019-09-30,5000,111,643,Odense C,14530,7.6,2019-Q3
1,2019-09-30,5200,9,636,Odense V,2556,3.5,2019-Q3
2,2019-09-30,5210,42,485,Odense NV,4030,10.4,2019-Q3
3,2019-09-30,5220,30,310,Odense SØ,4670,6.4,2019-Q3
4,2019-09-30,5230,46,768,Odense M,3430,13.4,2019-Q3
5,2019-09-30,5240,12,41,Odense NØ,4211,2.8,2019-Q3
6,2019-09-30,5250,60,421,Odense SV,4709,12.7,2019-Q3
7,2019-09-30,5260,46,133,Odense S,3873,11.9,2019-Q3
8,2019-09-30,5270,33,660,Odense N,4259,7.7,2019-Q3
9,2019-09-30,5290,5,596,Marslev,259,19.3,2019-Q3
10,2019-09-30,5300,21,422,Kerteminde,1848,11.4,2019-Q3
10,2019-09-30,5300,21,423,Kerteminde,1848,11.4,2019-Q3
10,2019-09-30,5300,21,424,Kerteminde,1848,11.4,2019-Q3
11,2019-09-30,5320,9,444,Agedrup,721,12.5,2019-Q3
12,2019-09-30,5330,10,418,Munkebo,1522,6.6,2019-Q3
13,2019-09-30,5350,3,671,Rynkeby,208,14.4,2019-Q3
14,2019-09-30,5370,2,513,Mesinge,225,8.9,2019-Q3
15,2019-09-30,5380,2,469,Dalby,142,14.1,2019-Q3
16,2019-09-30,5390,6,234,Martofte,108,55.6,2019-Q3
16,2019-09-30,5390,6,235,Martofte,108,55.6,2019-Q3
16,2019-09-30,5390,6,236,Martofte,108,55.6,2019-Q3
17,2019-09-30,5400,28,498,Bogense,1920,14.6,2019-Q3
17,2019-09-30,5400,28,499,Bogense,1920,14.6,2019-Q3
17,2019-09-30,5400,28,500,Bogense,1920,14.6,2019-Q3
17,2019-09-30,5400,28,501,Bogense,1920,14.6,2019-Q3
17,2019-09-30,5400,28,502,Bogense,1920,14.6,2019-Q3
18,2019-09-30,5450,0,341,Otterup,2900,0.0,2019-Q3
18,2019-09-30,5450,0,342,Otterup,2900,0.0,2019-Q3
18,2019-09-30,5450,0,343,Otterup,2900,0.0,2019-Q3
18,2019-09-30,5450,0,344,Otterup,2900,0.0,2019-Q3
18,2019-09-30,5450,0,345,Otterup,2900,0.0,2019-Q3
19,2019-09-30,5462,3,300,Morud,472,6.4,2019-Q3
20,2019-09-30,5463,0,599,Harndrup,394,0.0,2019-Q3
21,2019-09-30,5464,8,652,Brenderup Fyn,610,13.1,2019-Q3
22,2019-09-30,5466,4,554,Asperup,390,10.3,2019-Q3
23,2019-09-30,5471,6,136,Søndersø,1730,3.5,2019-Q3
24,2019-09-30,5474,2,797,Veflinge,330,6.1,2019-Q3
25,2019-09-30,5485,2,555,Skamby,198,10.1,2019-Q3
26,2019-09-30,5491,3,604,Blommenslyst,291,10.3,2019-Q3
27,2019-09-30,5492,12,476,Vissenbjerg,1439,8.3,2019-Q3
28,2019-09-30,5500,56,258,Middelfart,5137,10.9,2019-Q3
28,2019-09-30,5500,56,259,Middelfart,5137,10.9,2019-Q3
29,2019-09-30,5540,9,728,Ullerslev,1376,6.5,2019-Q3
30,2019-09-30,5550,7,404,Langeskov,1314,5.3,2019-Q3
31,2019-09-30,5560,7,519,Aarup,1353,5.2,2019-Q3
32,2019-09-30,5580,13,551,Nørre Aaby,1110,11.7,2019-Q3
