,quarter,zip_code,sales,residences,rel_sales,quarter_name
0,2019-09-30,5000,111,14530,7.6,2019-Q3
1,2019-09-30,5200,9,2556,3.5,2019-Q3
2,2019-09-30,5210,42,4030,10.4,2019-Q3
3,2019-09-30,5220,30,4670,6.4,2019-Q3
4,2019-09-30,5230,46,3430,13.4,2019-Q3
5,2019-09-30,5240,12,4211,2.8,2019-Q3
6,2019-09-30,5250,60,4709,12.7,2019-Q3
7,2019-09-30,5260,46,3873,11.9,2019-Q3
8,2019-09-30,5270,33,4259,7.7,2019-Q3
9,2019-09-30,5290,5,259,19.3,2019-Q3
10,2019-09-30,5300,21,1848,11.4,2019-Q3
11,2019-09-30,5320,9,721,12.5,2019-Q3
12,2019-09-30,5330,10,1522,6.6,2019-Q3
13,2019-09-30,5350,3,208,14.4,2019-Q3
14,2019-09-30,5370,2,225,8.9,2019-Q3
15,2019-09-30,5380,2,142,14.1,2019-Q3
16,2019-09-30,5390,6,108,55.6,2019-Q3
17,2019-09-30,5400,28,1920,14.6,2019-Q3
18,2019-09-30,5450,0,2900,0.0,2019-Q3
19,2019-09-30,5462,3,472,6.4,2019-Q3
20,2019-09-30,5463,0,394,0.0,2019-Q3
21,2019-09-30,5464,8,610,13.1,2019-Q3
22,2019-09-30,5466,4,390,10.3,2019-Q3
23,2019-09-30,5471,6,1730,3.5,2019-Q3
24,2019-09-30,5474,2,330,6.1,2019-Q3
25,2019-09-30,5485,2,198,10.1,2019-Q3
26,2019-09-30,5491,3,291,10.3,2019-Q3
27,2019-09-30,5492,12,1439,8.3,2019-Q3
28,2019-09-30,5500,56,5137,10.9,2019-Q3
29,2019-09-30,5540,9,1376,6.5,2019-Q3
30,2019-09-30,5550,7,1314,5.3,2019-Q3
31,2019-09-30,5560,7,1353,5.2,2019-Q3
32,2019-09-30,5580,13,1110,11.7,2019-Q3
33,2019-09-30,5591,2,690,2.9,2019-Q3
34,2019-09-30,5592,5,914,5.5,2019-Q3
35,2019-09-30,5600,35,4005,8.7,2019-Q3
36,2019-09-30,5601,0,39,0.0,2019-Q3
37,2019-09-30,5602,0,33,0.0,2019-Q3
38,2019-09-30,5610,17,2712,6.3,2019-Q3
39,2019-09-30,5620,11,1544,7.1,2019-Q3
40,2019-09-30,5631,6,480,12.5,2019-Q3
41,2019-09-30,5642,3,296,10.1,2019-Q3
42,2019-09-30,5672,9,1527,5.9,2019-Q3
43,2019-09-30,5683,10,1231,8.1,2019-Q3
44,2019-09-30,5690,5,1761,2.8,2019-Q3
45,2019-09-30,5700,74,9294,8.0,2019-Q3
46,2019-09-30,5750,17,2791,6.1,2019-Q3
47,2019-09-30,5762,8,907,8.8,2019-Q3
